Player,Team,Games Played,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
Rui Hachimura,Was,57,31.5,65.7,18.1,8.6,161,0.77,511,0.519,137,0.328,0.513,0.549,13.8,5.5,9.2,1.4,6.3,0.79,0.12,1.19,6,106.8,109.6
LaMarcus Aldridge,San,21,25.9,54,22.7,7,37,0.838,173,0.509,75,0.36,0.518,0.545,13.7,4.5,9.2,1.7,10.2,0.38,0.86,0.95,7.3,107.3,110
Darius Bazley,Okc,55,31.2,64.9,22,13.7,178,0.702,404,0.47,286,0.29,0.456,0.491,13.7,7.2,12,1.8,8.9,0.53,0.45,2.22,7.2,92.4,112.9
Chris Boucher,Tor,60,24.2,50.4,20.6,6.7,193,0.788,325,0.609,235,0.383,0.595,0.634,13.6,6.7,15.3,1.1,7,0.58,1.85,0.77,7.7,127.2,103.3
Doug McDermott,Ind,66,24.5,51.1,20,7,98,0.816,379,0.641,286,0.388,0.616,0.635,13.6,3.3,7.4,1.3,7.8,0.3,0.09,0.8,6.3,120.8,111.9
Lauri Markkanen,Chi,51,25.8,53.8,20.2,8.5,92,0.826,224,0.585,296,0.402,0.595,0.62,13.6,5.3,11.3,0.9,5,0.51,0.29,1.02,6.2,115.3,109.7
Mikal Bridges,Pho,72,32.6,67.9,14.9,7.4,131,0.84,353,0.649,315,0.425,0.644,0.668,13.5,4.3,7.4,2.1,8.8,1.06,0.88,0.81,6.1,131,110.7
Montrezl Harrell,Lal,69,22.9,47.7,21.7,9.4,256,0.707,593,0.632,10,0,0.622,0.65,13.5,6.2,15.2,1.1,7.7,0.67,0.71,1.07,7.9,126.4,101.2
Marcus Morris Sr.,Lac,57,26.3,54.9,20.1,8.4,89,0.82,288,0.472,296,0.473,0.592,0.614,13.4,4.1,8.8,1,5.6,0.6,0.26,1,5.8,116.4,106.8
Carmelo Anthony,Por,69,24.5,51,23.1,6.7,156,0.891,452,0.429,325,0.409,0.506,0.548,13.4,3.1,6.8,1.5,9.2,0.67,0.55,0.88,6.5,111.4,111.1
Goran Dragic,Mia,50,26.7,55.7,24.5,16.4,122,0.828,310,0.481,244,0.373,0.515,0.553,13.4,3.3,7.2,4.4,25.9,0.66,0.14,2.38,8.7,104.2,106.6
Josh Jackson,Det,62,25.2,52.4,26.5,15,218,0.729,451,0.486,257,0.3,0.472,0.515,13.4,4.1,9.1,2.3,15.1,0.85,0.76,2.29,8,96.5,103.8
Danilo Gallinari,Atl,51,24,49.9,21.2,7.2,174,0.925,221,0.466,254,0.406,0.542,0.613,13.3,4.2,9.5,1.5,9.2,0.59,0.2,0.84,7.3,122.5,106.6
Jarrett Allen,Cle,51,30.3,63.1,16.8,13.1,229,0.69,398,0.623,19,0.316,0.616,0.649,13.2,9.9,18.3,1.7,8.8,0.47,1.41,1.53,8,124.4,111.2
Marcus Smart,Bos,48,32.9,68.6,18.4,14.2,162,0.79,228,0.482,282,0.33,0.489,0.539,13.1,3.5,5.9,5.7,23.6,1.5,0.5,2,7.8,113.2,108.7
Duncan Robinson,Mia,72,31.4,65.4,16.6,9.7,75,0.827,104,0.625,613,0.408,0.614,0.628,13.1,3.5,6.3,1.8,8.3,0.6,0.28,1.13,5.5,112.8,107.4
Tyrese Haliburton,Sac,58,30.1,62.7,18.1,12.5,56,0.857,323,0.529,296,0.409,0.569,0.585,13,3,5.5,5.3,24.6,1.33,0.48,1.59,7.9,117.8,116.9
Evan Fournier,Bos,16,29.5,61.5,18,9.6,14,0.714,77,0.429,95,0.463,0.576,0.584,13,3.3,6.2,3.1,14.9,1.25,0.63,1.19,6.9,116.1,107.5
Shake Milton,Phi,63,23.2,48.3,25,12.2,176,0.83,464,0.494,203,0.35,0.503,0.549,13,2.3,5.6,3.1,20.3,0.62,0.29,1.63,7.8,108.4,104.4
Kyle Kuzma,Lal,68,28.7,59.9,20.3,12.4,97,0.691,377,0.525,380,0.361,0.533,0.546,12.9,6.1,12,1.9,9.8,0.5,0.6,1.66,7.4,104.8,104.3
P.J. Washington,Cha,64,30.5,63.6,19.4,14.6,145,0.745,397,0.479,290,0.386,0.521,0.549,12.9,6.5,11.6,2.5,12.2,1.09,1.23,2,7.8,104.3,105.8
Cole Anthony,Orl,47,27.1,56.4,24.3,14.8,131,0.832,380,0.424,172,0.337,0.449,0.496,12.9,4.7,9,4.1,24.2,0.64,0.38,2.26,9.3,98.4,109.4
Markelle Fultz,Orl,8,26.9,56,26.2,13.8,19,0.895,88,0.42,16,0.25,0.413,0.458,12.9,3.1,6,5.4,33.1,1,0.25,2.25,8.9,95.9,109.2
LaMarcus Aldridge,Bro,5,26,54.3,19.9,11.8,10,1,43,0.488,5,0.8,0.563,0.611,12.8,4.8,10.2,2.6,14.3,0.6,2.2,1.4,8.3,116.4,107.4
Keldon Johnson,San,69,28.5,59.4,19.2,9,196,0.74,524,0.531,181,0.331,0.522,0.557,12.8,6,11.1,1.8,8.9,0.58,0.35,1.13,7.3,110.5,108.5
Miles Bridges,Cha,66,29.3,61,17.3,13.6,113,0.867,332,0.593,290,0.4,0.596,0.625,12.7,6,11.1,2.2,11.4,0.67,0.79,1.61,7.5,115.5,108.2
Alec Burks,Nyk,49,25.6,53.3,21.4,8.2,118,0.856,254,0.425,246,0.415,0.522,0.564,12.7,4.6,9.8,2.2,13.2,0.63,0.29,1,7.9,113.5,102.9
