Player,Team,Games Played,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
Kelly Olynyk,Mia,43,26.9,56,17.5,12.3,40,0.775,134,0.634,242,0.318,0.533,0.549,10,6.1,12.9,2.1,11.7,0.93,0.6,1.28,7.5,105.6,101
Lou Williams,Atl,24,21.1,43.9,24.3,14.6,54,0.87,163,0.368,54,0.444,0.442,0.496,10,2.1,5.4,3.4,23.7,0.33,0.08,1.71,7.9,100.7,114.2
Otto Porter Jr.,Chi,25,21.6,45,19.5,10.3,37,0.838,107,0.477,95,0.4,0.535,0.566,9.9,5.5,14.2,2,13.1,0.48,0.16,1,8.8,113.6,107.6
Dorian Finney-Smith,Dal,60,32,66.7,12.3,9,41,0.756,164,0.616,302,0.394,0.6,0.609,9.8,5.4,9.4,1.7,7.2,0.87,0.4,0.8,5.6,123.5,109.4
Frank Jackson,Det,40,18.5,38.4,21.4,9.7,75,0.813,143,0.51,150,0.407,0.561,0.598,9.8,2.2,6.5,0.9,7.9,0.38,0.03,0.88,5.8,111.5,110.2
Mike Muscala,Okc,35,18.4,38.4,20,6.9,36,0.917,83,0.614,184,0.37,0.573,0.599,9.7,3.8,10.6,0.8,7,0.23,0.31,0.6,6.7,115.6,108.6
Kentavious Caldwell-Pope,Lal,67,28.4,59.1,14.2,10.9,112,0.866,211,0.464,293,0.41,0.552,0.59,9.7,2.7,5.3,1.9,9.2,0.93,0.39,1.01,5.2,113.9,105.5
Gary Harris,Den,19,30.6,63.8,13.7,7.6,30,0.733,81,0.556,75,0.32,0.519,0.544,9.7,2.5,4.6,1.7,7.1,0.89,0.21,0.74,4.5,112,111.6
Wayne Ellington,Det,46,22,45.8,16.7,8.5,35,0.8,63,0.524,275,0.422,0.612,0.625,9.6,1.8,4.7,1.5,10.2,0.39,0.2,0.72,5.4,117.8,112.5
Cameron Johnson,Pho,60,24,49.9,17,7.3,59,0.847,148,0.581,335,0.349,0.541,0.563,9.6,3.3,7.9,1.4,8,0.62,0.27,0.67,5.9,111.9,109.6
Isaac Okoro,Cle,67,32.4,67.6,14.3,12,157,0.726,345,0.501,214,0.29,0.476,0.514,9.6,3.1,5.3,1.9,8.6,0.93,0.36,1.28,4.7,102.5,110.9
DeMarcus Cousins,Hou,25,20.2,42.2,23.1,14.2,59,0.746,94,0.426,116,0.336,0.469,0.511,9.6,7.6,20.1,2.4,18,0.84,0.72,1.56,11.1,101.7,97.7
Daniel Theis,Bos,42,24.5,50.9,15,11.4,67,0.687,193,0.653,95,0.347,0.609,0.625,9.5,5.2,11.9,1.6,9.3,0.6,1.02,0.98,7,122,103.6
Danny Green,Phi,69,28,58.4,14,10.5,40,0.775,113,0.434,432,0.405,0.572,0.581,9.5,3.8,7.4,1.7,8.3,1.33,0.81,0.96,5.6,113.3,105
Eric Paschall,Gol,40,17.4,36.2,23.5,11.2,94,0.713,244,0.533,54,0.333,0.527,0.561,9.5,3.2,9.8,1.3,11.4,0.3,0.18,1.08,7.8,105.6,105.1
Yogi Ferrell,Cle,2,20.3,42.2,26.8,12.1,2,0,12,0.417,9,0.333,0.452,0.434,9.5,3.5,9.6,2.5,20.6,1.5,0.5,1.5,8.6,90.2,105.5
Cody Zeller,Cha,48,20.9,43.6,18.3,11.9,119,0.714,296,0.598,28,0.143,0.565,0.599,9.4,6.8,17.7,1.8,13.2,0.56,0.35,1.06,9.3,121.8,101.5
Trevor Ariza,Mia,30,28,58.4,15.1,7.5,44,0.773,98,0.5,143,0.35,0.515,0.542,9.4,4.8,9.8,1.8,9.4,1,0.6,0.7,6.2,111,107.1
Kenyon Martin Jr.,Hou,45,23.7,49.4,15.7,9.7,84,0.714,222,0.572,96,0.365,0.564,0.59,9.3,5.4,12.1,1.1,6.8,0.67,0.91,0.84,6.4,116.7,109.6
Landry Shamet,Bro,61,23,47.9,16.7,8.9,78,0.846,123,0.463,333,0.387,0.549,0.578,9.3,1.8,4.4,1.6,9.3,0.52,0.16,0.79,5.2,112.5,112.3
Larry Nance Jr.,Cle,35,31.2,65,13.9,15.8,49,0.612,158,0.551,114,0.36,0.546,0.557,9.3,6.7,12,3.1,14.4,1.74,0.49,1.57,7.4,108.8,108.5
Josh Hart,Nor,47,28.7,59.8,13.5,11.8,89,0.775,150,0.587,193,0.326,0.532,0.568,9.2,8,15.2,2.3,10.5,0.81,0.26,1.09,7.7,115.2,105.7
David Nwaba,Hou,30,22.6,47.1,16.5,6.4,68,0.691,154,0.578,63,0.27,0.528,0.559,9.2,3.9,9.3,1,6.9,1,0.7,0.57,5.8,115.1,109.2
Desmond Bane,Mem,68,22.3,46.5,16.1,10.2,49,0.816,228,0.513,271,0.432,0.586,0.6,9.2,3.1,7.3,1.7,10.6,0.62,0.24,0.87,6.5,114.7,107.5
Patrick Williams,Chi,71,27.9,58.2,14.9,14.4,125,0.728,390,0.515,138,0.391,0.534,0.562,9.2,4.6,9.1,1.4,6.7,0.9,0.65,1.38,5.6,104.6,109.1
James Johnson,Nor,22,24.5,51,18,12.1,47,0.596,122,0.516,60,0.267,0.478,0.498,9.2,4.1,9.2,2.2,12.2,0.82,0.86,1.27,7.1,100.9,104.4
De'Anthony Melton,Mem,52,20.1,41.9,19.5,13.7,51,0.804,182,0.467,211,0.412,0.548,0.568,9.1,3.1,8.2,2.5,17.5,1.13,0.6,1.27,8.2,109.2,105.5
Furkan Korkmaz,Phi,55,19.3,40.2,20.5,9.1,82,0.732,155,0.445,269,0.375,0.52,0.544,9.1,2.1,5.9,1.5,11.1,0.89,0.16,0.84,6.3,107.7,106
Ivica Zubac,Lac,72,22.3,46.5,15.2,14.7,171,0.789,390,0.656,4,0.25,0.654,0.693,9,7.2,18.1,1.3,7.9,0.33,0.86,1.13,7.9,134.5,101
Robin Lopez,Was,71,19.1,39.7,17.1,13.4,137,0.723,406,0.65,18,0.278,0.64,0.663,9,3.8,10.6,0.8,5.9,0.21,0.62,1.06,6.3,123.7,110.2
Paul Millsap,Den,56,20.8,43.2,18.6,10.3,98,0.724,258,0.55,143,0.343,0.537,0.565,9,4.7,12.7,1.8,11.6,0.91,0.64,0.91,8.2,116,104.2
Jaylen Nowell,Min,42,18.1,37.6,21.4,7.2,55,0.818,185,0.497,150,0.333,0.499,0.528,9,2.3,6.8,1.5,12.5,0.52,0.29,0.67,6.9,106.8,110.3
Talen Horton-Tucker,Lal,65,20.1,41.8,21.7,16.3,129,0.775,357,0.524,131,0.282,0.497,0.537,9,2.6,7.3,2.8,20.8,0.97,0.32,1.63,8,102.6,99.7
Justin Jackson,Mil,1,32.6,67.9,14,9.2,2,0.5,3,0.333,6,0.333,0.444,0.455,9,6,9.7,1,3.7,0,0,1,4.6,98.7,114.2
Bruce Brown,Bro,65,22.3,46.5,15.9,10.2,117,0.735,364,0.599,59,0.288,0.576,0.604,8.8,5.4,13.3,1.6,9.8,0.86,0.43,0.83,7.6,123.9,105
Danuel House Jr.,Hou,36,25.9,54,15.3,10.7,63,0.651,116,0.483,156,0.346,0.504,0.525,8.8,3.7,7.5,1.9,10.6,0.58,0.44,1,6.1,103.7,112.2
Michael Carter-Williams,Orl,31,25.8,53.7,20.2,18.4,80,0.613,209,0.431,61,0.246,0.417,0.449,8.8,4.5,9,4.1,24.1,0.81,0.55,2.23,8.5,92.3,106.7
Jay Scrubb,Lac,4,21.1,43.9,23.8,15.5,5,1,27,0.444,9,0.222,0.417,0.458,8.8,3.5,9.3,0.3,1.7,1,0,1.75,4,81.6,107
Tony Bradley,Okc,22,18,37.5,18,16,44,0.705,120,0.667,2,0,0.656,0.676,8.7,6.1,17.7,0.9,8.4,0.41,0.77,1.23,8.1,122.2,106.7
Raul Neto,Was,64,21.9,45.7,15.9,9.9,85,0.882,283,0.512,164,0.39,0.539,0.575,8.7,2.4,5.9,2.3,14,1.14,0.09,0.83,6.6,114.7,108.2
Austin Rivers,Den,15,26.9,56,14.2,10.6,17,0.706,38,0.5,72,0.375,0.541,0.558,8.7,2.3,4.9,2.6,12.5,1.2,0.13,0.93,5.6,112.7,108.2
JJ Redick,Nor,31,18.6,38.8,18.9,9.6,47,0.957,74,0.486,140,0.364,0.526,0.575,8.7,1.7,4.9,1.3,9.5,0.29,0.06,0.81,5.8,112.5,112.1
Dario Saric,Pho,50,17.4,36.3,22.6,12.9,99,0.848,207,0.512,135,0.348,0.516,0.567,8.7,3.8,12.4,1.3,10.4,0.6,0.08,1.14,8.1,109,101.9
Isaiah Roby,Okc,61,23.4,48.7,17.7,19,117,0.744,320,0.547,109,0.294,0.52,0.555,8.7,5.6,12.4,1.8,11.4,0.85,0.61,1.85,7.6,101.4,103.8
Jakob Poeltl,San,69,26.7,55.7,13.4,14.8,124,0.508,430,0.616,0,0,0.616,0.612,8.6,7.9,15.8,1.9,10.1,0.68,1.78,1.22,7.6,123.1,105.3
T.J. McConnell,Ind,69,26,54.2,15.3,20.9,48,0.688,442,0.586,48,0.313,0.574,0.583,8.6,3.7,7.7,6.6,34.3,1.86,0.33,1.96,9.1,116.9,109.2
Moses Brown,Okc,43,21.4,44.6,17,11.7,126,0.619,269,0.543,0,0,0.543,0.57,8.6,8.9,21.7,0.2,1.7,0.72,1.12,1,4.6,116.6,103.5
Ricky Rubio,Min,68,26.1,54.3,16,16.4,150,0.867,284,0.447,214,0.308,0.454,0.516,8.6,3.3,6.8,6.4,33.3,1.46,0.06,1.63,8.7,113.1,110.1
Robert Covington,Por,70,32,66.8,11.5,10.7,62,0.806,153,0.451,356,0.379,0.533,0.553,8.5,6.7,11.1,1.7,6.8,1.44,1.2,0.91,5.7,112.2,107.8
Avery Bradley,Mia,10,21.1,43.9,16.9,11.4,9,0.778,28,0.536,38,0.421,0.591,0.607,8.5,1.8,4.9,1.4,10,0.7,0.1,0.9,5.3,110.3,102.4
Cameron Payne,Pho,60,18,37.5,19.8,12.5,56,0.893,229,0.515,166,0.44,0.576,0.602,8.4,2.4,7.6,3.6,28.1,0.6,0.27,1,9.3,121.3,105.5
Gabriel Deck,Okc,10,21.2,44.1,16.6,7.3,22,0.818,52,0.577,15,0.133,0.493,0.548,8.4,4,9.8,2.4,17.3,0.8,0,0.6,8.2,121,113.1
James Ennis III,Orl,41,24.1,50.1,13.9,11.6,87,0.805,139,0.504,104,0.433,0.566,0.613,8.4,4,8.7,1.5,9.3,0.78,0.17,0.9,6.1,119.4,108.5
Mitchell Robinson,Nyk,31,27.5,57.3,11.8,11.5,53,0.491,176,0.653,0,0,0.653,0.642,8.3,8.1,16,0.5,2.9,1.13,1.45,0.84,4.7,130.5,99.5
Luke Kennard,Lac,63,19.6,40.8,17.1,10.1,31,0.839,190,0.511,224,0.446,0.597,0.608,8.3,2.6,7.3,1.7,11.9,0.35,0.14,0.76,6.8,117.2,107.9
Isaiah Hartenstein,Cle,16,17.9,37.3,19.7,17.8,35,0.686,85,0.6,6,0.333,0.593,0.62,8.3,6,18.7,2.5,22.8,0.5,1.19,1.44,11.2,116.8,97.8
Sterling Brown,Hou,51,24.1,50.2,13.5,10.5,31,0.806,119,0.496,215,0.423,0.585,0.598,8.2,4.4,9.7,1.4,8.4,0.75,0.24,0.8,6.1,114.1,110.1
Aleksej Pokusevski,Okc,45,24.2,50.5,20.5,18.8,42,0.738,201,0.403,207,0.28,0.412,0.43,8.2,4.7,10.2,2.2,13.1,0.44,0.93,2.2,7.3,81,111.7
Nicolas Batum,Lac,67,27.4,57.1,11.8,10.8,58,0.828,141,0.574,271,0.406,0.597,0.617,8.1,4.7,9.7,2.2,10.5,1.03,0.55,0.79,6.4,124.1,107.9
JaMychal Green,Den,58,19.3,40.2,17.6,11.7,57,0.807,176,0.534,198,0.399,0.568,0.59,8.1,4.8,14,0.9,6.4,0.45,0.38,0.91,6.8,115.2,101.5
Hassan Whiteside,Sac,36,15.2,31.6,23.5,13.4,79,0.519,223,0.565,1,0,0.563,0.566,8.1,6,21.9,0.6,5.6,0.25,1.28,1.11,8.1,106.8,103.2
Taurean Prince,Bro,12,18.2,37.8,19.4,11.4,27,0.889,37,0.459,37,0.351,0.493,0.565,8.1,2.8,8.6,0.6,4.3,0.67,0.67,0.92,5.2,105,106
Robert Williams III,Bos,52,18.9,39.5,15,15.2,73,0.616,256,0.727,2,0,0.721,0.719,8,6.9,20.2,1.8,14.2,0.83,1.77,1,9.8,137.8,101.5
Kenrich Williams,Okc,66,21.6,45,15.3,14.8,63,0.571,294,0.568,117,0.444,0.596,0.599,8,4.1,9.9,2.3,16.4,0.86,0.26,1.15,7.8,115.4,106.2
Mo Bamba,Orl,46,15.8,32.8,21.9,10.1,66,0.682,183,0.568,118,0.322,0.535,0.556,8,5.8,19,0.8,8.1,0.3,1.26,0.8,8.4,110.3,101.7
Tyrese Maxey,Phi,61,15.3,32,23,8.2,70,0.871,326,0.512,103,0.301,0.498,0.531,8,1.7,6.1,2,19.9,0.43,0.21,0.67,7.9,109.6,104.3
Ben McLemore,Lal,21,17.5,36.5,19.5,9.1,21,0.762,27,0.481,114,0.368,0.539,0.559,8,1.6,5.2,0.5,4.3,0.14,0.29,0.71,4.2,104,102.7
JaVale McGee,Cle,33,15.2,31.8,24.6,15.8,55,0.655,195,0.549,20,0.25,0.533,0.554,8,5.2,18.9,1,11.4,0.48,1.21,1.36,9.1,102.8,97.8
Otto Porter Jr.,Orl,3,22.2,46.2,17.7,0,5,1,16,0.5,9,0.111,0.38,0.441,8,4.7,10.9,1.7,11.4,1.33,0,0,7.2,101.2,107.2
Gorgui Dieng,Mem,22,16.9,35.2,16.9,14.8,43,0.884,60,0.55,48,0.479,0.625,0.682,7.9,4.5,14,1.3,10.6,0.77,0.64,1,8.5,126.8,102.2
Isaiah Stewart,Det,68,21.4,44.6,15.5,13,92,0.696,346,0.592,63,0.333,0.578,0.597,7.9,6.7,17.3,0.9,6.3,0.56,1.26,0.99,6.8,117,100.8
Willy Hernangomez,Nor,47,18,37.5,17,9.9,93,0.667,258,0.581,10,0.1,0.565,0.591,7.8,7.1,21.4,1.1,8.4,0.47,0.49,0.72,8.7,123.4,105.6
Anfernee Simons,Por,64,17.3,36,18.3,9.2,57,0.807,120,0.4,281,0.427,0.569,0.589,7.8,2.2,6.8,1.4,11.4,0.28,0.13,0.67,6.7,116.5,111.5
Chuma Okeke,Orl,45,25.2,52.4,14.5,10,40,0.75,183,0.47,141,0.348,0.492,0.511,7.8,4,8.3,2.2,13.2,1.07,0.51,0.84,6.5,106.5,112.6
DeMarcus Cousins,Lac,16,12.9,26.9,27.8,19.3,22,0.682,76,0.566,19,0.421,0.579,0.597,7.8,4.5,19.6,1,12.4,0.81,0.38,1.56,10.2,106.1,92
Tomas Satoransky,Chi,58,22.5,46.9,15.2,20.9,79,0.848,210,0.605,118,0.356,0.579,0.616,7.7,2.4,6,4.7,27.9,0.69,0.24,1.66,7.9,118.4,109.9
Payton Pritchard,Bos,66,19.2,40,16.7,10.8,45,0.889,170,0.482,248,0.411,0.562,0.582,7.7,2.4,6.9,1.8,13.3,0.56,0.14,0.8,6.7,116.3,109.1
Naji Marshall,Nor,32,21.9,45.6,16.8,13.6,75,0.707,126,0.421,83,0.349,0.462,0.508,7.7,4.6,11.5,2.8,16.5,0.81,0.31,1.19,8.5,105.2,106.2
PJ Dozier,Den,50,21.8,45.4,17.2,10.9,66,0.636,205,0.493,149,0.315,0.484,0.503,7.7,3.6,9.5,1.8,11.2,0.62,0.44,0.94,6.8,103.5,107.8
Mike James,Bro,13,18.2,37.8,22.9,16.1,27,0.778,61,0.377,31,0.355,0.429,0.481,7.7,2.5,7.5,4.2,30.6,0.46,0.08,1.54,9.5,102.8,113.3
Isaiah Thomas,Nor,3,16.1,33.5,29.5,17.7,2,1,15,0.4,12,0.25,0.389,0.412,7.7,1.3,4.5,1.7,15,0.33,0,2,6.4,78.1,112.5
Steven Adams,Nor,58,27.7,57.6,11.7,17.7,135,0.444,305,0.62,3,0,0.614,0.596,7.6,8.9,17.4,1.9,9.1,0.93,0.66,1.36,7.3,119.7,107.8
Rajon Rondo,Lac,18,20.4,42.6,18.3,26.4,15,1,61,0.525,44,0.432,0.576,0.609,7.6,3.1,8.4,5.8,38.6,0.94,0.11,2.22,10.1,118,105.9
Tristan Thompson,Bos,54,23.8,49.6,14.8,14.1,120,0.592,323,0.523,3,0,0.518,0.54,7.6,8.1,19,1.2,7.2,0.44,0.61,1.15,7.1,114.5,105.4
Garrett Temple,Chi,56,27.3,56.9,13,12.4,50,0.8,181,0.503,200,0.335,0.503,0.525,7.6,2.8,5.8,2.2,10.5,0.77,0.52,1.02,5.3,105,108.4
Jaxson Hayes,Nor,60,16.1,33.5,16.2,10.5,120,0.775,266,0.635,14,0.429,0.636,0.675,7.5,4.3,14.5,0.6,5.2,0.42,0.63,0.65,6.7,130.6,105
DeAndre Jordan,Bro,57,21.9,45.5,13.2,22.6,92,0.5,249,0.763,1,0,0.76,0.733,7.5,7.5,18.9,1.6,10.1,0.3,1.14,1.49,8.2,126.5,104.9
Henry Ellenson,Tor,2,19.2,40,17.7,0,4,0.75,5,0.6,9,0.222,0.429,0.476,7.5,6,17.2,2.5,18.7,0,0.5,0,10.1,120.5,95.9
Patrick Beverley,Lac,37,22.5,46.9,14.6,12.4,45,0.8,79,0.468,141,0.397,0.55,0.58,7.5,3.2,8,2.1,12,0.76,0.76,0.92,6.6,117.2,100.7
Edmond Sumner,Ind,53,16.2,33.9,18.3,13.8,83,0.819,194,0.582,88,0.398,0.587,0.626,7.5,1.8,5.9,0.9,7.9,0.62,0.19,0.96,5.7,111.3,107.5
Malachi Flynn,Tor,47,19.7,41.1,19,10.5,56,0.804,173,0.422,168,0.321,0.452,0.483,7.5,2.5,6.9,2.9,21.4,0.83,0.15,0.91,7.7,102.9,109.5
Jalen Harris,Tor,13,13.2,27.6,22.6,15.6,9,0.778,36,0.528,36,0.472,0.618,0.632,7.4,1.4,5.8,1.3,16,0.62,0,1.08,7.2,109.9,108.5
Jalen McDaniels,Cha,47,19.2,40.1,17,12.6,64,0.703,179,0.547,105,0.333,0.53,0.554,7.4,3.6,10.1,1.1,8.6,0.6,0.4,0.96,6.4,106.5,105
Ben McLemore,Hou,32,16.8,35,21.1,10.5,32,0.719,58,0.431,166,0.331,0.48,0.5,7.4,2.1,6.6,0.9,7.8,0.63,0.09,0.88,5.7,94.8,109.3
Louis King,Sac,6,14.2,29.6,20.5,9.8,6,1,23,0.565,11,0.364,0.559,0.6,7.3,3,11.7,1.5,15.4,1.17,0.5,0.67,9,120.5,106.1
Dennis Smith Jr.,Det,20,19.6,40.9,18.8,14.8,20,0.7,80,0.463,55,0.345,0.485,0.504,7.3,2.7,7.5,3.7,28.8,1,0.7,1.25,8.5,106,106.6
Austin Rivers,Nyk,21,21.1,43.9,16.5,13.5,14,0.714,58,0.517,77,0.364,0.533,0.545,7.3,2.2,5.8,2,13.9,0.57,0,1.05,6,105.2,105.8
Torrey Craig,Pho,32,18.8,39.2,15.5,9.5,20,0.8,97,0.619,84,0.369,0.588,0.603,7.2,4.8,14.5,1,7.4,0.59,0.59,0.63,6.9,121.2,102.9
Juancho Hernangomez,Min,52,17.3,36.1,17.2,7.3,97,0.619,131,0.573,168,0.327,0.527,0.549,7.2,3.9,12.3,0.7,5.6,0.37,0.13,0.52,6.2,110.4,112.7
Nemanja Bjelica,Sac,26,16.9,35.2,19.3,14.3,42,0.762,92,0.565,58,0.293,0.517,0.555,7.2,3.8,12.6,1.9,15.3,0.31,0.08,1.08,8.8,109.8,109
Justin Jackson,Okc,33,16.5,34.4,20.2,12,35,0.857,101,0.515,111,0.306,0.486,0.519,7.2,2.2,6.8,1.5,14.5,0.45,0.06,0.94,7,101.8,112.4
Kent Bazemore,Gol,67,19.9,41.5,16.3,16.1,78,0.692,208,0.486,184,0.408,0.545,0.564,7.2,3.4,9.1,1.6,11.1,1.03,0.49,1.22,6.8,101.3,100.5
Aaron Holiday,Ind,66,17.8,37.1,19.5,12.3,83,0.819,254,0.406,182,0.368,0.467,0.503,7.2,1.3,4.1,1.9,14.1,0.7,0.2,1,5.9,98.6,110.7
Dewayne Dedmon,Mia,16,13.2,27.4,19.3,14.5,27,0.741,60,0.75,5,0.2,0.715,0.735,7.1,5.4,23.4,0.8,9.6,0.56,0.38,0.81,9.5,134.8,90.5
Maxi Kleber,Dal,50,26.8,55.9,10.6,9.3,37,0.919,63,0.46,212,0.41,0.58,0.606,7.1,5.2,10.7,1.4,6.6,0.48,0.7,0.6,5.6,122.8,108.1
Alex Len,Was,57,15.8,33,16.7,12.9,110,0.636,249,0.647,19,0.263,0.629,0.643,7.1,4.4,14.6,0.8,7.2,0.33,1.02,0.82,7.4,121.2,102.1
Moritz Wagner,Was,25,15,31.3,18.3,12.7,52,0.788,80,0.613,42,0.31,0.561,0.614,7.1,2.9,10.3,1.3,11.7,0.88,0.32,0.84,8,116.4,97
Terance Mann,Lac,67,18.9,39.3,15.1,9.3,94,0.83,259,0.541,91,0.418,0.563,0.603,7,3.6,10.8,1.6,11.3,0.45,0.19,0.6,7.3,124.6,103.8
Royce O'Neale,Uta,71,31.6,65.7,9.6,16.7,46,0.848,116,0.586,278,0.385,0.58,0.599,7,6.8,11.5,2.5,10.4,0.8,0.45,1.17,6.2,120,102.1
Dwight Howard,Phi,69,17.3,36.1,18.3,22.1,210,0.576,283,0.611,20,0.25,0.596,0.61,7,8.4,26.7,0.9,7.2,0.43,0.9,1.62,8.7,112.3,89.3
Draymond Green,Gol,63,31.5,65.5,13.1,31,88,0.795,254,0.535,126,0.27,0.492,0.53,7,7.1,12.1,8.9,36.5,1.7,0.83,2.98,9.7,109.8,101.2
Damian Jones,Sac,17,20,41.7,12.7,14.9,35,0.714,66,0.682,4,0.25,0.664,0.691,6.9,4.5,12.5,1.4,9.4,0.53,1,0.88,7,130,109
Georges Niang,Uta,72,16,33.4,17.4,10.9,23,0.957,113,0.469,292,0.425,0.59,0.602,6.9,2.4,8.1,0.8,7.3,0.36,0.1,0.71,5.9,113.7,101.5
Jeff Teague,Bos,34,18.1,37.8,17.7,15.4,61,0.836,132,0.394,56,0.464,0.484,0.542,6.9,1.7,5.1,2.1,16.2,0.76,0.21,1.15,6.4,107.4,110.2
Maurice Harkless,Sac,26,24.9,52,12.6,10.5,41,0.805,79,0.582,73,0.247,0.48,0.526,6.9,3,6.6,1.4,7.2,1.08,0.65,0.77,4.9,105.6,109.3
Brad Wanamaker,Cha,22,19.5,40.5,18.1,18.9,45,0.889,102,0.5,24,0.125,0.44,0.518,6.9,1.8,4.9,3.4,24.9,0.73,0.23,1.55,7.1,104.6,108.3
Terence Davis,Tor,34,14.5,30.2,21.6,11.7,18,0.889,88,0.489,122,0.361,0.519,0.537,6.9,1.9,7.4,1.1,11.5,0.5,0.21,0.85,6.7,100.6,107.2
Svi Mykhailiuk,Det,36,17.6,36.7,19,14.2,30,0.8,52,0.519,171,0.333,0.504,0.527,6.9,2.1,6.5,1.6,13.5,0.75,0.17,1.08,6.5,99.4,110.9
Pat Connaughton,Mil,69,22.8,47.5,11.6,7.5,40,0.775,115,0.583,272,0.371,0.565,0.578,6.8,4.8,11.1,1.2,6.3,0.68,0.33,0.48,6,120.2,107.6
Derrick Jones Jr.,Por,58,22.7,47.3,12.3,8.5,91,0.648,168,0.619,136,0.316,0.554,0.576,6.8,3.5,8.3,0.8,4.8,0.64,0.93,0.55,4.7,120.1,110.1
Jaden McDaniels,Min,63,24,50,12,10.8,45,0.6,169,0.544,198,0.364,0.545,0.552,6.8,3.7,8.3,1.1,6.4,0.56,0.95,0.75,5,107.7,108
Justise Winslow,Mem,26,19.5,40.6,21.9,14.1,35,0.571,156,0.41,54,0.185,0.376,0.395,6.8,4.5,12.3,1.9,13.3,0.58,0.46,1.42,7.9,81.8,104.1
Killian Hayes,Det,26,25.8,53.7,19,28.5,17,0.824,129,0.395,72,0.278,0.403,0.422,6.8,2.7,5.7,5.3,29.7,1.04,0.38,3.19,7.1,81.5,107.5
Abdel Nader,Pho,24,14.8,30.8,19,12.6,37,0.757,73,0.534,43,0.419,0.569,0.605,6.7,2.6,9.9,0.8,7.3,0.42,0.38,0.79,6.5,110.4,104.1
Ish Smith,Was,44,21,43.7,15.8,11.6,33,0.576,248,0.448,49,0.367,0.465,0.473,6.7,3.4,8.6,3.9,24.7,0.73,0.3,0.93,8.5,105.1,109.1
Spencer Dinwiddie,Bro,3,21.4,44.7,16,21.2,6,1,9,0.444,7,0.286,0.438,0.536,6.7,4.3,11.2,3,17.5,0.67,0.33,1.67,8.3,102,108.5
Markieff Morris,Lal,61,19.7,41,16.5,11.9,50,0.72,169,0.521,209,0.311,0.491,0.509,6.7,4.4,12.4,1.2,8.6,0.36,0.31,0.89,6.7,100.8,101
Damyean Dotson,Cle,46,19.7,41.1,16.9,12,36,0.667,134,0.545,159,0.289,0.485,0.499,6.7,2,5.7,2,15.1,0.35,0.09,0.91,6.1,98.9,115
Nicolas Claxton,Bro,32,18.6,38.7,14,9.4,64,0.484,140,0.636,5,0.2,0.624,0.612,6.6,5.2,15.4,0.9,6.4,0.72,1.25,0.56,6.7,123.5,102.1
Xavier Tillman,Mem,59,18.4,38.3,14.3,12.3,53,0.642,234,0.62,65,0.338,0.595,0.605,6.6,4.3,12.5,1.3,9.4,0.75,0.56,0.76,7.2,117.9,102.6
Jeff Teague,Mil,21,15.9,33.1,17.5,17.9,44,0.864,69,0.507,26,0.385,0.526,0.603,6.6,1.5,4.9,2.8,22.2,0.38,0.24,1.19,7.6,117.8,112.9
Frank Kaminsky,Pho,47,15.2,31.7,19,7.2,60,0.617,172,0.523,85,0.365,0.531,0.547,6.6,4,14.9,1.7,15.3,0.3,0.36,0.47,9.4,116.6,102.9
Trey Burke,Dal,62,14.7,30.6,19.9,8,57,0.895,189,0.492,164,0.354,0.51,0.544,6.6,0.9,3.3,1.3,12.9,0.6,0.1,0.53,5.4,110,110.7
Cory Joseph,Sac,44,21.5,44.7,14.3,14,47,0.766,156,0.513,94,0.33,0.506,0.534,6.6,2.3,5.9,2.5,14.9,0.86,0.2,1,6.3,108.3,110.9
Damion Lee,Gol,57,18.9,39.4,12.8,9.3,44,0.909,80,0.638,194,0.397,0.608,0.636,6.5,3.2,8.9,1.3,9.1,0.67,0.14,0.53,6.4,121.1,105.6
Denzel Valentine,Chi,62,16.7,34.8,19.5,9,17,0.941,174,0.431,242,0.331,0.469,0.479,6.5,3.2,10.5,1.7,14,0.48,0.11,0.68,7.9,99.6,108.1
Chasson Randle,Orl,41,20.4,42.5,15.7,15.1,48,0.792,107,0.449,130,0.338,0.481,0.515,6.5,2,5.1,1.8,12.9,0.56,0.12,1.12,5.6,97.8,110.7
Cameron Reynolds,Hou,2,17.2,35.7,19.8,0,0,0,4,0.5,12,0.25,0.406,0.406,6.5,2.5,7.8,1,8.7,0,0,0,5.9,95,116
Marquese Chriss,Gol,2,13.4,27.8,28.4,11.3,4,0.5,9,0.444,5,0.2,0.393,0.412,6.5,6.5,25.9,1,11.2,0,1,1,10.4,87.7,97.5
Jabari Parker,Bos,10,13.8,28.8,18.9,11.5,13,0.769,38,0.632,10,0.2,0.563,0.596,6.4,3.6,14.5,1,10.8,0.1,0.4,0.7,8.2,117.6,109.7
Alex Caruso,Lal,58,21,43.7,14.8,18.3,76,0.645,168,0.464,137,0.401,0.526,0.547,6.4,2.9,7.8,2.8,18.1,1.1,0.26,1.31,7.1,105.9,100.3
Kira Lewis Jr.,Nor,54,16.7,34.9,18.3,8.6,51,0.843,217,0.415,120,0.333,0.445,0.477,6.4,1.3,4.3,2.3,18.7,0.7,0.19,0.63,6.4,105.1,107.3
